area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,sqft_per_bhk,availability_status,possession_year,location_reduced,has_society,is_cramped,is_luxury_price,price_segment,location_tier,area_type_rank,bath_per_bhk,is_luxury_bath,log_price,log_total_sqft,availability_month,society_size_proxy,society_type
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,2.0,1056.0,3699.810606060606,528.0,Future,2019,Electronic City Phase II,1,0,0,Budget,Tier 3,1,1.0,0,3.6906279246480533,6.963189985870238,Dec,5,Small
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,4.0,2600.0,4615.384615384615,650.0,Ready,0,Chikka Tirupathi,1,0,0,Premium,Tier 3,3,1.25,1,4.795790545596741,7.8636512654486515,Unknown,13,Medium
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Independent,1440,2.0,3.0,62.0,3.0,1440.0,4305.555555555556,480.0,Ready,0,Uttarahalli,0,0,0,Mid-Range,Tier 2,0,0.6666666666666666,0,4.143134726391533,7.273092595999522,Unknown,5469,Large
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,3.0,1521.0,6245.890861275477,507.0,Ready,0,Lingadheeranahalli,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.564348191467836,7.3277805384216315,Unknown,22,Medium
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Independent,1200,2.0,1.0,51.0,2.0,1200.0,4250.0,600.0,Ready,0,Kothanur,0,0,0,Mid-Range,Tier 2,1,1.0,0,3.9512437185814275,7.0909098220799835,Unknown,5469,Large
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,2.0,1170.0,3247.863247863248,585.0,Ready,0,Whitefield,1,0,0,Budget,Tier 2,1,1.0,0,3.6635616461296463,7.065613363597717,Unknown,1,Small
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,0.0,204.0,4.0,2732.0,7467.0571010248905,683.0,Future,2018,Old Airport Road,1,0,1,Ultra-Luxury,Tier 2,1,1.0,0,5.3230099791384085,7.913155185928068,May,19,Medium
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,0.0,600.0,4.0,3300.0,18181.81818181818,825.0,Ready,0,Rajaji Nagar,1,0,1,Ultra-Luxury,Tier 1,1,1.0,0,6.398594934535208,8.101980731853192,Unknown,21,Medium
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Independent,1310,3.0,1.0,63.25,3.0,1310.0,4828.244274809161,436.6666666666667,Ready,0,Marathahalli,0,0,0,Mid-Range,Tier 2,1,1.0,0,4.162781723775329,7.1785454837637,Unknown,5469,Large
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,Independent,1020,6.0,0.0,370.0,6.0,1020.0,36274.509803921566,170.0,Ready,0,other,0,1,1,Ultra-Luxury,Tier 1,3,1.0,0,5.916202062607435,6.928537818164665,Unknown,5469,Large
Super built-up  Area,18-Feb,Whitefield,3 BHK,Independent,1800,2.0,2.0,70.0,3.0,1800.0,3888.8888888888887,600.0,Future,2018,Whitefield,0,0,0,Mid-Range,Tier 2,1,0.6666666666666666,0,4.2626798770413155,7.496097345175956,Feb,5469,Large
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,4.0,2785.0,10592.45960502693,696.25,Ready,0,Whitefield,1,0,1,Ultra-Luxury,Tier 2,3,1.25,1,5.69035945432406,7.932362154339751,Unknown,7,Small
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,2.0,1000.0,3800.0,500.0,Ready,0,7th Phase JP Nagar,1,0,0,Budget,Tier 2,1,1.0,0,3.6635616461296463,6.90875477931522,Unknown,2,Small
Built-up  Area,Ready To Move,Gottigere,2 BHK,Independent,1100,2.0,2.0,40.0,2.0,1100.0,3636.3636363636365,550.0,Ready,0,Gottigere,0,0,0,Budget,Tier 3,0,1.0,0,3.713572066704308,7.00397413672268,Unknown,5469,Large
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,3.0,2250.0,6577.777777777777,750.0,Ready,0,Sarjapur,1,0,0,Premium,Tier 3,3,1.0,0,5.003946305945459,7.719129840906732,Unknown,1,Small
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,2.0,1175.0,6255.31914893617,587.5,Ready,0,Mysore Road,1,0,0,Mid-Range,Tier 2,1,1.0,0,4.310799125385514,7.069874128458572,Unknown,8,Small
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,3.0,1180.0,4067.7966101694915,393.3333333333333,Ready,0,Bisuvanahalli,1,0,0,Budget,Tier 3,1,1.0,0,3.8918202981106265,7.074116816197362,Unknown,50,Medium
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,3.0,1540.0,3896.103896103896,513.3333333333334,Ready,0,Raja Rajeshwari Nagar,1,0,0,Mid-Range,Tier 3,1,1.0,0,4.110873864173311,7.340186835320115,Unknown,80,Large
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,3.0,2770.0,10469.314079422382,923.3333333333334,Ready,0,other,1,0,1,Ultra-Luxury,Tier 1,1,1.3333333333333333,1,5.673323267171493,7.9269635448629785,Unknown,4,Small
